EventTemplate,Occurrences
accepting AMQP connection <*> (10.0.11.197:48534 -> 10.0.11.23:5672) ,15
<*> <*> (10.0.11.197:48534 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
closing AMQP connection <*> (10.0.11.208:35888 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
accepting AMQP connection <*> (10.0.11.208:36596 -> 10.0.11.23:5672) ,11
<*> <*> (10.0.11.208:36596 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,11
closing AMQP connection <*> (10.0.11.208:36596 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,11
accepting AMQP connection <*> (10.0.11.208:36910 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.208:36910 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.197:48534 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
accepting AMQP connection <*> (10.0.11.197:49454 -> 10.0.11.23:5672) ,23
<*> <*> (10.0.11.197:49454 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,23
closing AMQP connection <*> (10.0.11.208:36910 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.208:37240 -> 10.0.11.23:5672) ,16
<*> <*> (10.0.11.208:37240 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,16
closing AMQP connection <*> (10.0.11.197:49454 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,23
accepting AMQP connection <*> (10.0.11.197:49722 -> 10.0.11.23:5672) ,20
<*> <*> (10.0.11.197:49722 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,20
closing AMQP connection <*> (10.0.11.208:37240 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,16
accepting AMQP connection <*> (10.0.11.208:37390 -> 10.0.11.23:5672) ,18
<*> <*> (10.0.11.208:37390 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,18
closing AMQP connection <*> (10.0.11.208:37390 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,18
accepting AMQP connection <*> (10.0.11.208:37400 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.208:37400 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.208:37400 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.208:37422 -> 10.0.11.23:5672) ,18
<*> <*> (10.0.11.208:37422 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,18
closing AMQP connection <*> (10.0.11.197:49722 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,20
accepting AMQP connection <*> (10.0.11.197:49818 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.197:49818 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.208:37422 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,18
accepting AMQP connection <*> (10.0.11.208:37464 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.208:37464 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.208:37464 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.208:37502 -> 10.0.11.23:5672) ,15
<*> <*> (10.0.11.208:37502 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
closing AMQP connection <*> (10.0.11.197:49818 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.197:49912 -> 10.0.11.23:5672) ,15
<*> <*> (10.0.11.197:49912 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
closing AMQP connection <*> (10.0.11.208:37502 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
